SubclassDescription,Model,Serial_Correlation_P_Value,No_Serial_Correlation,ARCH_LM_P_Value,No_ARCH_Effects,Normality_P_Value,Skewness,Kurtosis,Normal_Residuals,CUSUM_P_Value,Stable_Parameters,Passed_Core_Diagnostics,Passed_All_Diagnostics
Soft drinks,Symmetric level,0.09604383853080264,True,0.9185086697149842,True,1.8689073226933892e-28,1.5312972974705148,7.645067217646098,False,0.9728583858568542,True,True,False
"Spices, culinary herbs and seeds",Symmetric level,0.46006789247663926,True,0.9068183621342737,True,0.009123042870259487,0.05555847761507983,4.504979410454355,False,0.39607158925349323,True,True,False
"Stone fruits and pome fruits, fresh",Symmetric level,0.05881309424380853,True,0.016079533782948276,False,0.004590048644264823,0.40776150557853336,4.394733250442948,False,0.7153135644670607,True,False,False
Sugar,Symmetric level,0.6937981088538817,True,0.9507881246741035,True,3.4344073461617746e-42,1.4782534305132606,9.127792843599979,False,0.9666690170605502,True,True,False
Tea and other plant products for infusion,Symmetric level,0.6873019912501668,True,0.10905594071232978,True,0.3050005986362401,0.3246961481182282,3.3924523881018773,True,0.663436436727422,True,True,True
Tubers,Symmetric level,0.008899604997248897,False,0.3664591330583104,True,7.347072409845837e-05,0.35996031477972523,5.0240564442834525,False,0.6641730956361543,True,False,False
Vegetable oils,Symmetric level,0.44187443544567007,True,0.0059698214614066795,False,4.4523946577717435e-21,0.655424747138081,7.582802989464985,False,0.7984495290089848,True,False,False
Vegetables and pulses ground and other preparations,Symmetric level,0.28590037866275503,True,0.3433179614531378,True,0.4517862655084979,0.23390800212421956,3.4079002901798554,True,0.6101960768778817,True,True,True
"Vegetables, tubers, plantains and cooking bananas, frozen",Symmetric level,0.4747450550819472,True,0.8184630360322062,True,0.08488449765074235,-0.10572735267008829,4.072915720294453,True,0.533432850158346,True,True,True
Water,Symmetric level,0.9706883853578014,True,0.31892299907054433,True,0.0893594200958013,-0.3701308857063611,3.789281043067743,True,0.6953378592353912,True,True,True
Yoghurt and similar products,Symmetric level,0.32573546136577053,True,0.7645462785428316,True,9.902321273713905e-12,0.9683903842832777,5.9213170495189535,False,0.5701837876832707,True,True,False
Baby food,Asymmetric level,0.0067654613264912684,False,0.9998060101797469,True,3.9792584767958597e-103,1.7763683234363532,13.08454978174146,False,0.7563456157814599,True,False,False
Bread and bakery products,Asymmetric level,0.22607797034383567,True,0.7500081410912626,True,0.20954230087171907,0.38013670937775423,3.42393385678851,True,0.5404725028414294,True,True,True
Breakfast cereals,Asymmetric level,0.17521512476989834,True,0.21307782384708565,True,3.7544552464488524e-13,-0.10025221094873694,6.719090559120441,False,0.8341243371067768,True,True,False
Cereals,Asymmetric level,0.10265713602553016,True,0.6101591264223611,True,0.43480386437859986,-0.31301031767634063,2.8908707754241254,True,0.7822962350101531,True,True,True
Cheese,Asymmetric level,0.5987585757178782,True,0.5125111117554337,True,0.9163218403320808,0.01917134633620225,2.7977635195798625,True,0.9310332758264414,True,True,True
"Chocolate, cocoa, and cocoa-based food products",Asymmetric level,0.08376537685280577,True,0.654263723960415,True,0.5015480236437868,0.23707041946166982,3.3313050411247436,True,0.9584927738536824,True,True,True
Coffee and coffee substitutes,Asymmetric level,0.027148547299874676,False,0.3044593576155759,True,1.03958895744751e-08,1.0340605354582586,5.152972351744337,False,0.8269333898560884,True,False,False
