Actual CPI,Forecast CPI
85.2,83.70902043226728
83.8,82.48794588774074
84.5,82.74250359888575
84.2,84.11924790319588
85.4,83.73960522680092
85.6,82.40559261139094
86.2,82.72033395008604
85.2,84.13650646072584
84.4,84.1000171014684
85.1,83.52961085634982
87.0,84.11215341915397
85.0,84.27930056997033
86.4,84.09018431115322
86.9,84.05439656835364
85.6,84.19667551970718
80.5,84.37917830085254
76.5,83.85675048385998
80.8,83.80750231992234
78.4,83.6830207776062
79.0,83.29101755477535
80.9,83.23897111142728
78.4,83.06461595497625
80.7,82.99589873018877
82.8,82.92025646985228
81.4,82.77745013558027
82.5,82.74215879581827
80.7,82.48891541189074
81.7,82.25190566952784
82.5,82.17051483313185
84.4,82.09676561476184
86.5,81.98975916576481
85.3,81.79884469870372
84.5,81.7357488531001
84.7,81.703664643393
84.6,81.60581204187093
84.9,81.50608889070936
85.5,81.45308781148138
87.1,81.42136926924726
87.2,81.3340970662627
88.9,81.27829920493679
88.5,81.25193806855627
90.6,81.180083099082
89.1,81.10752393996952
92.6,81.0593890201725
93.2,81.03817635288888
93.6,81.00387885980548
94.0,80.95508158420499
93.6,80.93094825604757
93.4,80.8961038324965
97.8,80.85718615633719
99.0,80.83206517839126
100.0,80.80844924650745
98.1,80.77879444930302
99.9,80.74622790582558
100.2,80.73004440397241
103.5,80.71873858765376
104.5,80.69576639174753
104.7,80.67242249426381
104.4,80.65810759941816
104.5,80.64776498729299
104.3,80.63391091040477
105.5,80.62173741604147
106.2,80.61364057795392
105.4,80.6025534633669
106.3,80.59104691082551
106.1,80.58361127605028
105.7,80.57918844128278
103.5,80.5720279423733
100.6,80.56344910335469
99.3,80.55922468166091
100.3,80.5562981944831
100.0,80.55164825892926
101.1,80.54701374672922
101.5,80.543495634701
102.1,80.54026311069208
101.6,80.5368839856558
103.3,80.53502974697012
104.2,80.53381013345644
103.9,80.53109772452558
103.1,80.52832615877125
103.5,80.52716154867973
103.3,80.52657489367255
103.9,80.52511941498427
102.7,80.52356481372595
82.3,80.52285245085992
82.1,80.52226331479659
82.5,80.52148539825313
84.6,80.52099560369925
86.8,80.52072902257967
87.4,80.52013314042685
88.6,80.51952040722595
88.6,80.51953167361523
88.5,80.51971564587583
88.7,80.51948176097389
88.9,80.5191510719935
89.1,80.51914175660738
91.5,80.51928506156167
92.6,80.51929837596418
93.8,80.51933221634062
