Model,Representation,File,Development_End_Date,Test_Start_Date,Validation_MAE,Validation_RMSE,Validation_R2,Validation_Directional_Accuracy_Pct,Estimator_Parameters,Saved
Ridge,Symmetric,ridge_symmetric_pipeline.joblib,2024-12-01,2025-01-01,1.113335556222785,1.869567729868008,0.030508639924260117,63.76811594202898,"{""alpha"": 100.0, ""copy_X"": true, ""fit_intercept"": true, ""max_iter"": null, ""positive"": false, ""random_state"": null, ""solver"": ""auto"", ""tol"": 0.0001}",True
Ridge,Asymmetric,ridge_asymmetric_pipeline.joblib,2024-12-01,2025-01-01,1.118286777400566,1.8731794340124561,0.02675921903940126,63.58695652173913,"{""alpha"": 100.0, ""copy_X"": true, ""fit_intercept"": true, ""max_iter"": null, ""positive"": false, ""random_state"": null, ""solver"": ""auto"", ""tol"": 0.0001}",True
Random Forest,Symmetric,random_forest_symmetric_pipeline.joblib,2024-12-01,2025-01-01,1.0591132080681305,1.7594458183378032,0.14135562050544892,64.85507246376811,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",True
Random Forest,Asymmetric,random_forest_asymmetric_pipeline.joblib,2024-12-01,2025-01-01,1.0773493963142866,1.796596254817787,0.1047125086763464,63.949275362318836,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",True
XGBoost,Symmetric,xgboost_symmetric_pipeline.joblib,2024-12-01,2025-01-01,1.0466773395589861,1.7220696130178172,0.17744879390563284,63.949275362318836,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 1.0, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": true, ""eval_metric"": ""rmse"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.08, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 4, ""max_leaves"": null, ""min_child_weight"": 3, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""num_parallel_tree"": null, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": 0.5, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": ""hist"", ""validate_parameters"": null, ""verbosity"": 0}",True
XGBoost,Asymmetric,xgboost_asymmetric_pipeline.joblib,2024-12-01,2025-01-01,1.0589288072545626,1.7282671419631175,0.17151760733956534,63.40579710144928,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 1.0, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": true, ""eval_metric"": ""rmse"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.08, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 4, ""max_leaves"": null, ""min_child_weight"": 3, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 300, ""n_jobs"": -1, ""num_parallel_tree"": null, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": 0.5, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": ""hist"", ""validate_parameters"": null, ""verbosity"": 0}",True
