Model,Asymmetric,Symmetric,Asymmetric_Improvement_Pct,Preferred_Representation
Random Forest,1.796596254817787,1.7594458183378032,-2.111485110412821,Symmetric
Ridge,1.8731794340124561,1.869567729868008,-0.19318391555159656,Symmetric
XGBoost,1.7282671419631175,1.7220696130178172,-0.35988840976291664,Symmetric
